pose,ir
[ 0.000000  0.000000  0.000000],	[ 0.690  0.521  0.757  1.090  0.026  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.681  0.476  0.744  0.877  0.026  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.690  0.501  0.771  1.052  0.026  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.656  0.476  0.771  0.877  0.027  0.009]
[ 0.000000  0.000000  0.000000],	[ 0.656  0.501  0.814  0.978  0.026  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.664  0.482  0.679  1.071  0.026  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.699  0.458  0.771  0.815  0.027  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.656  0.488  0.692  1.052  0.026  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.673  0.452  0.799  0.961  0.026  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.647  0.452  0.771  0.877  0.026  0.011]
[ 0.000000  0.000000  0.000000],	[ 0.690  0.488  0.632  0.575  0.026  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.656  0.528  0.632  1.071  0.027  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.631  0.476  0.799  0.893  0.026  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.656  0.627  0.799  0.525  0.024  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.717  0.476  0.259  0.347  0.022 -0.004]
[ 0.000000  0.000000  0.000000],	[ 0.664  0.476  0.692  0.815  0.027  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.639  0.514  0.757  0.831  0.026  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.656  0.458  0.771  0.877  0.026  0.009]
[ 0.000000  0.000000  0.000000],	[ 0.681  0.587  0.771  1.014  0.025  0.008]
[ 0.000000  0.000000  0.000000],	[ 0.656  0.476  0.771  0.772  0.026  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.647  0.514  0.771  1.090  0.026  0.006]
[ 0.000000  0.000000  0.000000],	[ 0.623  0.458  0.814  0.927  0.026  0.005]
[ 0.000000  0.000000  0.000000],	[ 0.647  0.495  0.799  1.071  0.026  0.009]
[ 0.000000  0.000000  0.000000],	[ 0.647  0.476  0.829  1.071  0.024  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.647  0.464  0.643  1.071  0.026  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.647  0.452  0.620  1.090  0.026  0.011]
[ 0.000000  0.000000  0.000000],	[ 0.690  0.464  0.814  0.515  0.026  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.681  0.458  0.730  1.071  0.026  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.647  0.476  0.643  0.815  0.026  0.009]
[ 0.000000  0.000000  0.000000],	[ 0.699  0.889  0.717  0.545  0.026  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.656  0.595  0.757  0.927  0.026  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.608  1.914  0.757  0.666  0.026  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.647  0.403  0.771  0.815  0.026  0.009]
[ 0.000000  0.000000  0.000000],	[ 0.656  0.440  0.814  0.462  0.027  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.690  0.556  0.799  0.831  0.026  0.009]
[ 0.000000  0.000000  0.000000],	[ 0.639  0.305  0.730  0.619  0.025  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.690  0.549  0.771  0.877  0.026  0.006]
[ 0.000000  0.000000  0.000000],	[ 0.647  0.298  0.771  0.927  0.026  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.664  0.635  0.717  0.978  0.027  0.011]
[ 0.000000  0.000000  0.000000],	[ 0.647  0.602  0.771  0.943  0.026  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.615  0.528  0.771  0.978  0.024  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.639  0.501  0.799  0.815  0.027  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.690  0.528  0.757  0.961  0.026  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.615  0.521  0.829  0.996  0.026  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.699  0.508  0.757  1.014  0.026  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.673  0.458  0.092  1.090  0.026  0.009]
[ 0.000000  0.000000  0.000000],	[ 0.681  0.587  0.814  0.758  0.027  0.009]
[ 0.000000  0.000000  0.000000],	[ 0.664  0.521  0.814  1.071  0.026  0.010]
[ 0.000000  0.000000  0.000000],	[ 0.664  0.452  0.771  0.608  0.026  0.009]
[ 0.000000  0.000000  0.000000],	[ 0.647  0.535  0.829  1.014  0.026  0.008]
[ 0.000000  0.000000  0.000000],	[ 0.416  0.408  0.744  0.666  0.024  0.014]
[ 0.000000  0.000000  0.000000],	[ 0.366  0.419  0.679  0.666  0.025  0.017]
[ 0.000000  0.000000  0.000000],	[ 0.623  0.963  0.799  0.801  0.029  0.039]
[ 0.000000  0.000000  0.000000],	[ 0.991  0.429  0.744  0.893  0.033  0.049]
[ 0.000000  0.000000  0.000000],	[ 0.523  0.388  0.814  0.943  0.043  0.054]
[ 0.000000  0.000000  0.000000],	[ 0.615  0.429  0.875  1.071  0.180  0.178]
[ 0.000000  0.000000  0.000000],	[ 0.929  0.429  0.844  1.071  0.230  0.243]
[ 0.000000  0.000000  0.000000],	[ 0.826  0.429  0.859  1.071  0.235  0.227]
[ 0.000000  0.000000  0.000000],	[ 1.662  0.429  0.859  1.090  0.468  0.341]
[ 0.000000  0.000000  0.000000],	[ 1.559  0.424  0.844  0.030  0.315  0.312]
[ 0.000000  0.000000  0.000000],	[ 1.662  0.398  0.717  0.227  1.147  0.290]
[ 0.000000  0.000000  0.000000],	[ 1.662  0.383  0.704  0.943  0.532  0.298]
[ 0.000000  0.000000  0.000000],	[ 1.662  1.226  0.859  0.445  0.499  0.283]
[ 0.000000  0.000000  0.000000],	[ 1.662  0.925  0.829  0.927  0.532  0.311]
[ 0.000000  0.000000  0.000000],	[ 1.579  0.820  0.829  0.597  0.689  0.351]
[ 0.000000  0.000000  0.000000],	[ 1.641  0.726  0.844  1.052  0.592  0.353]
[ 0.000000  0.000000  0.000000],	[ 1.252  1.914  0.844  1.071  0.592  0.305]
[ 0.000000  0.000000  0.000000],	[ 1.683  1.117  0.829  1.071  0.499  0.324]
[ 0.000000  0.000000  0.000000],	[ 1.662  0.133  0.829  1.071  0.767  0.337]
[ 0.000000  0.000000  0.000000],	[ 1.641  0.117  0.814  1.071  0.619  0.321]
[ 0.000000  0.000000  0.000000],	[ 1.662  0.128  0.844  1.071  0.532  0.273]
[ 0.000000  0.000000  0.000000],	[ 1.641  0.128  0.814  1.071  0.532  0.316]
[ 0.000000  0.000000  0.000000],	[ 1.683  0.092  0.859  1.052  0.619  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.641  0.163  0.859  1.033  0.735  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.662  0.177  0.829  0.227  0.468  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.683  0.234  0.859  0.088  0.704  0.342]
[ 0.000000  0.000000  0.000000],	[ 1.662  0.291  0.291  0.679  0.488  0.355]
[ 0.000000  0.000000  0.000000],	[ 1.641  0.374  0.272  1.090  0.499  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.205  0.403  0.328  0.259  0.430  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.072  0.435  0.291  0.608  0.605  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.683  0.388  0.277  0.060  0.751  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.662  0.348  0.291  0.149  0.592  0.353]
[ 0.000000  0.000000  0.000000],	[ 1.662  0.369  0.491  0.106  0.592  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.662  0.413  0.202  1.052  0.689  0.339]
[ 0.000000  0.000000  0.000000],	[ 1.662  0.470  0.110  0.079  0.296  0.290]
[ 0.000000  0.000000  0.000000],	[ 1.662  0.435  0.844  0.032  0.872  0.265]
[ 0.000000  0.000000  0.000000],	[ 1.641  0.435  0.814 -0.030  1.196  0.340]
[ 0.000000  0.000000  0.000000],	[ 1.662  0.424  0.859 -0.050  1.171  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.683  0.419  0.859  0.009  1.171  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.662  0.514  0.785  0.136  1.171  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.662  0.424  0.844  1.071  1.171  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.641  0.446  0.704  0.608  1.171  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.683  0.435  0.859  1.071  1.147  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.641  0.424  0.717  1.071  1.171  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.662  0.361  0.844  0.038  1.196  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.559  0.424  0.859 -0.033  1.171  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.086  0.379  0.844  0.087  1.147  0.354]
[ 0.000000  0.000000  0.000000],	[ 0.816  0.316  0.859  0.121  1.147  0.354]
[ 0.000000  0.000000  0.000000],	[ 0.905  0.316  0.844  0.149  1.171  0.342]
[ 0.000000  0.000000  0.000000],	[ 0.859  0.383  0.829  0.323  1.196  0.342]
[ 0.000000  0.000000  0.000000],	[ 0.699  0.424  0.859  0.479  1.171  0.354]
[ 0.000000  0.000000  0.000000],	[ 0.717  0.352  0.829  0.497  1.147  0.354]
[ 0.000000  0.000000  0.000000],	[ 0.765  0.429  0.829  0.422  1.171  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.683  0.429  0.859  0.393  1.171  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.620  0.446  0.829  0.347  1.171  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.683  0.388  0.730  0.414  1.171  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.662  0.369  0.643  0.506  1.077  0.312]
[ 0.000000  0.000000  0.000000],	[ 1.662  0.408  0.537  1.052  0.161  0.279]
[ 0.000000  0.000000  0.000000],	[ 1.662  0.361  0.567  0.525  0.379  0.233]
[ 0.000000  0.000000  0.000000],	[ 1.705  0.331  0.527  1.090  0.328  0.257]
[ 0.000000  0.000000  0.000000],	[ 1.539  0.383  0.527  1.071  0.341  0.342]
[ 0.000000  0.000000  0.000000],	[ 1.641  0.361  0.426  0.801  0.356  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.620  0.424  0.500  0.679  0.521  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.662  0.312  0.390  0.220  1.171  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.641  0.320  0.482  0.608  1.171  0.353]
[ 0.000000  0.000000  0.000000],	[ 1.662  0.305  0.232  0.242  1.171  0.354]
