delta_pose,ir,correspondence
[ 0.034538  0.005060  0.000000],	[ 1.389  0.320  0.061  0.070  0.091  0.249],	[0 0 1 1 2 2]
[ 0.024590  0.003726 -0.012320],	[ 1.600  0.339  0.054  0.070  0.092  0.255],	[0 0 1 1 2 2]
[ 0.038357  0.006064 -0.004107],	[ 1.500  0.374  0.054  0.069  0.095  0.277],	[0 0 1 1 2 2]
[ 0.028567  0.003509  0.090346],	[ 0.571  0.393  0.060  0.060  0.097  0.305],	[0 0 1 1 2 2]
[ 0.044918  0.000503  0.102666],	[ 1.641  0.429  0.071  0.057  0.084  0.131],	[0 0 1 1 2 2]
[ 0.043574 -0.002241  0.032853],	[ 1.662  0.446  0.080  0.057  0.081  0.107],	[0 0 1 1 2 2]
[ 0.029169 -0.001950  0.004107],	[ 1.662  0.452  0.087  0.063  0.074  0.098],	[0 0 1 1 2 2]
[ 0.043568 -0.001321 -0.114986],	[ 1.683  0.343  0.085  0.065  0.075  0.095],	[0 0 1 1 2 2]
[ 0.031240  0.003210 -0.098560],	[ 0.941  0.488  0.074  0.077  0.081  0.076],	[0 0 1 1 2 2]
[ 0.045409  0.008729 -0.082133],	[ 1.520  0.476  0.061  0.076  0.085  0.068],	[0 0 1 1 2 2]
[ 0.029250  0.007131 -0.020533],	[ 0.795  0.482  0.049  0.074  0.090  0.068],	[0 0 1 1 2 2]
[ 0.042926  0.011746 -0.024640],	[ 0.226  0.458  0.040  0.070  0.091  0.074],	[0 0 1 1 2 2]
[ 0.030919  0.007634  0.053387],	[ 0.893  0.476  0.044  0.057  0.100  0.083],	[0 0 1 1 2 2]
[ 0.047248  0.008397  0.065707],	[ 1.086  0.470  0.044  0.055  0.105  0.095],	[0 0 1 1 2 2]
[ 0.031974  0.004495  0.016427],	[ 0.795  0.339  0.047  0.048  0.105  0.101],	[0 0 1 1 2 2]
[ 0.047626  0.005948  0.016427],	[ 0.755  0.508  0.044  0.045  0.105  0.105],	[0 0 1 1 2 2]
[ 0.048948  0.005924 -0.004107],	[ 0.708  0.470  0.045  0.045  0.111  0.101],	[0 0 1 1 2 2]
[ 0.032916  0.004025  0.000000],	[ 0.765  0.488  0.042  0.045  0.096  0.104],	[0 0 1 1 2 2]
[ 0.048888  0.006397 -0.012320],	[ 0.805  0.476  0.039  0.047  0.109  0.105],	[0 0 1 1 2 2]
[ 0.030678  0.004313 -0.004107],	[ 0.848  0.482  0.037  0.041  0.114  0.105],	[0 0 1 1 2 2]
[ 0.044429  0.006772 -0.020533],	[ 0.893  0.252  0.032  0.044  0.119  0.102],	[0 0 1 1 2 2]
[ 0.028853  0.004705 -0.004107],	[ 0.929  0.495  0.031  0.040  0.102  0.107],	[0 0 1 1 2 2]
[ 0.045649  0.007407  0.032853],	[ 0.893  0.482  0.028  0.036  0.121  0.111],	[0 0 1 1 2 2]
[ 0.049564  0.004048  0.082133],	[ 0.623  0.435  0.039  0.032  0.121  0.127],	[0 0 1 1 2 2]
[ 0.033572  0.001290  0.020533],	[ 0.510  0.424  0.045  0.033  0.115  0.130],	[0 0 1 1 2 2]
[ 0.047986  0.001003  0.008213],	[ 0.486  0.446  0.047  0.034  0.095  0.131],	[0 0 1 1 2 2]
[ 0.043625  0.000847  0.000000],	[ 0.517  0.458  0.051  0.037  0.105  0.125],	[0 0 1 1 2 2]
[ 0.027046  0.000588  0.000000],	[ 0.492  0.282  0.055  0.037  0.110  0.125],	[0 0 1 1 2 2]
[ 0.046184  0.002145 -0.082133],	[ 0.571  0.440  0.055  0.044  0.105  0.118],	[0 0 1 1 2 2]
[ 0.032047  0.003910 -0.041067],	[ 0.592  0.446  0.045  0.048  0.093  0.104],	[0 0 1 1 2 2]
[ 0.043449  0.007351 -0.036960],	[ 0.592  0.452  0.040  0.050  0.115  0.099],	[0 0 1 1 2 2]
[ 0.029984  0.005816 -0.016427],	[ 0.510  0.482  0.031  0.046  0.114  0.099],	[0 0 1 1 2 2]
[ 0.045266  0.009495 -0.016427],	[ 0.563  0.470  0.027  0.040  0.122  0.102],	[0 0 1 1 2 2]
[ 0.048099  0.010841 -0.004107],	[ 0.536  0.464  0.019  0.042  0.105  0.106],	[0 0 1 1 2 2]
[ 0.034929  0.005307  0.102666],	[ 0.517  0.464  0.021  0.029  0.130  0.127],	[0 0 1 1 2 2]
[ 0.050500  0.003222  0.082133],	[ 0.498  0.495  0.036  0.026  0.127  0.136],	[0 0 1 1 2 2]
[ 0.033587  0.000828  0.012320],	[ 0.486  0.482  0.042  0.026  0.121  0.137],	[0 0 1 1 2 2]
[ 0.049737  0.000665  0.008213],	[ 0.468  0.476  0.045  0.027  0.119  0.136],	[0 0 1 1 2 2]
[ 0.034031  0.000401  0.000000],	[ 0.452  0.476  0.046  0.031  0.129  0.120],	[0 0 1 1 2 2]
[ 0.050606  0.000916 -0.008213],	[ 0.383  0.470  0.045  0.033  0.116  0.133],	[0 0 1 1 2 2]
[ 0.034461  0.000797 -0.004107],	[ 0.350  0.446  0.045  0.040  0.115  0.122],	[0 0 1 1 2 2]
